"Class";"Name";"CID";"CAS";"Goldman.2005.WT";"Bruyne.1999.WT"
"189";"ester";"octyl acetate";8164;"112-14-1";NA;NA
"190";"ester";"decyl acetate";8167;"112-17-4";NA;NA
"191";"ester";"methyl propionate";11124;"554-12-1";NA;NA
"192";"ester";"propyl butanoate";7770;"105-66-8";NA;NA
"193";"ester";"propyl pentanoate";67328;"141-06-0";NA;NA
"194";"ester";"butyl hexanoate";12294;"626-82-4";NA;NA
"195";"N ring";"indole";798;"120-72-9";NA;NA
"196";"ester";"Z11-hexdecenyl acetate";5364711;"34010-21-4";NA;NA
"197";"ester";"2-methyl butyl acetate";12209;"624-41-9";NA;NA
"198";"ester";"propyl propionate";7803;"106-36-5";NA;NA
"199";"ester";"sec-amyl acetate";12278;"626-38-0";NA;NA
"200";"ester";"ethyl (R)-(-)-3-hydroxybutanoate";440030;"24915-95-5";NA;NA
"201";"ester";"ethyl (S)-(+)-3-hydroxybutanoate";6950306;"56816-01-4";NA;NA
"202";"ester";"ethyl 2-methylbutanoate";24020;"7452-79-1";NA;NA
"203";"ester";"butyl butanoate";7983;"109-21-7";NA;NA
"204";"ester";"methyl pentanoate";12206;"624-24-8";NA;NA
"205";"ester";"ethyl pentanoate";10882;"539-82-2";NA;NA
"206";"ester";"methyl 3-hydroxy hexanoate";519845;"21188-58-9";NA;NA
"207";"ester";"ethyl 3-hydroxyhexanoate";61293;"2305-25-1";NA;NA
"208";"ester";"propyl hexanoate";12293;"626-77-7";NA;NA
"209";"ester";"methyl heptanoate";7826;"106-73-0";NA;NA
"210";"ester";"ethyl heptanoate";7797;"106-30-9";NA;NA
"211";"ester";"isoamyl tiglate";5463682;"41519-18-0";NA;NA
"212";"ester";"isopropyl butyrate";61184;"638-11-9";NA;NA
"213";"ester";"methyl tiglate";5323652;"6622-76-0";NA;NA
"214";"ester";"ethyl 2-methyl-2E-butenoate";5281163;"5837-78-5";NA;NA
"215";"ester";"isopropyl tiglate";5367745;"1733-25-1";NA;NA
"216";"ester";"ethyl isovalerate";7945;"108-64-5";NA;NA
"217";"ester";"heptyl acetate";8159;"112-06-1";NA;NA
"218";"ester";"Z3-hexenyl acetate";5363388;"3681-71-8";NA;NA
"219";"ester";"hexyl methanoate";61177;"629-33-4";NA;NA
"220";"ester";"butyl heptanoate";21596;"5454-28-4";NA;NA
"221";"ester";"nonyl acetate";8918;"143-13-5";NA;NA
"222";"ester";"propyl heptanoate";229377;"7778-87-2";NA;NA
"223";"ester";"butyl valerate";61137;"591-68-4";NA;NA
"224";"ester";"butyl propanoate";11529;"590-01-2";NA;NA
"225";"O ring";"acetyl furan";14505;"1192-62-7";NA;NA
"226";"O ring";"beta-butyrolactone";18303;"3068-88-0";NA;NA
"227";"O ring";"gamma-valerolactone";7921;"108-29-2";NA;NA
"228";"O ring";"4-hydroxy-2,5-dimethyl-3(2H)-furanone";19309;"3658-77-3";NA;NA
"229";"O ring";"gamma-pentyl-gamma-butyrolactone";441574;"63357-97-1";NA;NA
"230";"O ring";"gamma-propyl-gamma-butyrolactone";7742;"105-21-5";NA;NA
"231";"other";"oil";NA;"solvent";0;NA
"232";"other";"heptane";NA;"142-82-5";NA;NA
"233";"other";"octane";356;"111-65-9";NA;NA
"234";"other";"nonane";8141;"111-84-2";NA;NA
"235";"other";"carbon dioxide";280;"124-38-9";NA;NA
"236";"N ring";"2-isobutyl-3-methoxypyrazine";32594;"24683-00-9";NA;NA
"237";"N ring";"pyrrolidine";31268;"123-75-1";NA;NA
"238";"other";"11-cis Vaccenyl Acetate";NA;"6186-98-7";NA;NA
"239";"alcohol";"oleyl alcohol";5284499;"143-28-2";NA;NA
"240";"alcohol";"cis-vaccenyl alcohol";NA;"62972-93-4";NA;NA
"241";"ester";"oleyl acetate";5363289;"693-80-1";NA;NA
"242";"acid";"cis-vaccenic acid";5282761;"506-17-2";NA;NA
"243";"other";"trans-methyl vaccenate";5364432;"6198-58-9";NA;NA
"244";"other";"hexane";8058;"110-54-3";NA;NA
"245";"O ring";"thymol";6989;"89-83-8";NA;NA
"246";"O ring";"benzophenone";3102;"119-61-9";NA;NA
"247";"alcohol";"isopropyl alcohol";3776;"67-63-0";NA;NA
"248";"other";"methional";18635;"3268-49-3";NA;NA
"249";"O ring";"menthol";16666;"89-78-1";NA;NA
