"Class";"Name";"CID";"CAS";"Hallem.2006.EN";"Hallem.2004.EN";"Hallem.2004.WT";"Bruyne.2001.WT";"Dobritsa.2003.EN";"Stensmyr.2003.WT";"Schmuker.2007.TR";"Pelz.2006.ALEC50";"Pelz.2006.AntEC50";"Pelz.2005.ALnmr";"Pelz.2005.Antnmr"
"alcohol";"methanol";"887";"67-56-1";59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"alcohol";"ethanol";"702";"64-17-5";59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"alcohol";"1-propanol";"1031";"71-23-8";62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"alcohol";"1-butanol";"263";"71-36-3";124;NA;NA;NA;NA;NA;15;3.1;2.4;NA;NA
"alcohol";"1-pentanol";"6276";"71-41-0";183;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"alcohol";"1-hexanol";"8103";"111-27-3";67;72;94;33;47;0;24;2.65;2.04;NA;NA
"alcohol";"1-octanol";"957";"111-87-5";57;NA;NA;NA;NA;NA;NA;NA;NA;0.417;-0.002
"alcohol";"2-octanol";"20083";"123-96-6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"alcohol";"2-pentanol";"22386";"6032-29-7";117;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"alcohol";"3-methyl-butanol";"31260";"123-51-3";108;NA;NA;NA;NA;0;18;2.92;2.47;NA;NA
"alcohol";"3-methyl-2-buten-1-ol";"11173";"556-82-1";105;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"alcohol";"1-penten-3-ol";"12020";"616-25-1";62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"alcohol";"1-octen-3-ol";"18827";"3391-86-4";125;114;142;65;101;NA;53;3.23;2.42;NA;NA
"alcohol";"E2-hexenol";"5318042";"928-95-0";91;NA;NA;NA;NA;NA;6;2.31;NA;NA;NA
"alcohol";"Z2-hexenol";"5324489";"928-94-9";115;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"alcohol";"E3-hexenol";"5284503";"928-97-2";86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"alcohol";"Z3-hexenol";"5281167";"928-96-1";85;NA;NA;NA;NA;NA;NA;1.97;NA;NA;NA
"alcohol";"glycerol";"753";"56-81-5";8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"alcohol";"2,3-butanediol";"262";"513-85-9";54;NA;NA;NA;NA;0;NA;NA;NA;0.308;0.021
"alcohol";"cyclohexanol";"7966";"108-93-0";NA;NA;NA;NA;NA;0;NA;NA;NA;0.426;0.474
"alcohol";"decanol";"8174";"112-30-1";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.197;0.005
"alcohol";"4-methylcyclohexanol";"11524";"589-91-3";NA;NA;NA;NA;NA;NA;17;2.15;NA;NA;NA
"alcohol";"1-heptanol";"8129";"111-70-6";NA;NA;NA;NA;NA;NA;NA;2.29;NA;NA;NA
"alcohol";"3-octanol";"11527";"589-98-0";NA;NA;NA;NA;NA;NA;61;2.8;NA;NA;NA
"alcohol";"1-nonanol";"8914";"143-08-8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"alcohol";"4-octanol";"11515";"589-62-8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"alcohol";"2-heptanol";"10976";"543-49-7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"alcohol";"2-hexanol";"12297";"626-93-7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"alcohol";"3-hexanol";"12178";"623-37-0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"alcohol";"1-hexen-3-ol";"20928";"4798-44-1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"alcohol";"isobutyl alcohol";"6560";"78-83-1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"methyl acetate";"6584";"79-20-9";58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"ethyl acetate";"8857";"141-78-6";57;61;78;29;46;NA;18;2.02;NA;NA;NA
"ester";"propyl acetate";"7997";"109-60-4";202;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ester";"butyl acetate";"31272";"123-86-4";216;131;190;NA;NA;0;NA;4.33;3.34;NA;NA
"ester";"pentyl acetate";"12348";"628-63-7";162;158;243;124;166;NA;115;4.53;4.13;NA;NA
"ester";"hexyl acetate";"8908";"142-92-7";176;NA;NA;NA;NA;0;NA;2.61;2.74;NA;NA
"ester";"isobutyl acetate";"8038";"110-19-0";255;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
