"Class";"Name";"CID";"CAS";"Schmuker.2007.TR";"Bruyne.2001.WT";"Nissler.2007.EC50";"Nissler.2007.nmr";"Kreher.2008.EN"
"alcohol";"Z2-hexenol";"5324489";"928-94-9";NA;NA;NA;NA;NA
"alcohol";"E3-hexenol";"5284503";"928-97-2";NA;NA;NA;NA;NA
"alcohol";"Z3-hexenol";"5281167";"928-96-1";NA;NA;2.47;0.626;NA
"alcohol";"glycerol";"753";"56-81-5";NA;NA;NA;NA;NA
"alcohol";"2,3-butanediol";"262";"513-85-9";NA;NA;NA;0.31825;NA
"alcohol";"cyclohexanol";"7966";"108-93-0";NA;NA;NA;NA;NA
"alcohol";"decanol";"8174";"112-30-1";NA;NA;NA;0.289;NA
"alcohol";"4-methylcyclohexanol";"11524";"589-91-3";-1;NA;NA;0.41975;NA
"alcohol";"1-heptanol";"8129";"111-70-6";NA;NA;NA;NA;52
"alcohol";"3-octanol";"11527";"589-98-0";176;NA;3.504;0.990635;143
"alcohol";"1-nonanol";"8914";"143-08-8";NA;NA;NA;NA;-8
"alcohol";"4-octanol";"11515";"589-62-8";NA;NA;NA;0.60925;NA
"alcohol";"2-heptanol";"10976";"543-49-7";NA;NA;4.39;1.0235;NA
"alcohol";"2-hexanol";"12297";"626-93-7";NA;NA;NA;0.91475;NA
"alcohol";"3-hexanol";"12178";"623-37-0";NA;NA;NA;NA;NA
"alcohol";"1-hexen-3-ol";"20928";"4798-44-1";NA;NA;2.81;0.76425;NA
"alcohol";"isobutyl alcohol";"6560";"78-83-1";NA;NA;NA;NA;NA
"ester";"methyl acetate";"6584";"79-20-9";NA;NA;NA;NA;NA
"ester";"ethyl acetate";"8857";"141-78-6";23;47;NA;NA;0
"ester";"propyl acetate";"7997";"109-60-4";NA;NA;NA;NA;10
"ester";"butyl acetate";"31272";"123-86-4";NA;NA;2.108;0.531667;NA
"ester";"pentyl acetate";"12348";"628-63-7";83;107;2.62;0.801833;79
"ester";"hexyl acetate";"8908";"142-92-7";NA;NA;2.04;0.59325;NA
"ester";"isobutyl acetate";"8038";"110-19-0";NA;NA;NA;NA;NA
"ester";"isopentyl acetate";"31276";"123-92-2";38;NA;NA;NA;13
"ester";"E2-hexenyl acetate";"2733294";"2497-18-9";92;NA;2.496;0.7375;NA
