"Class";"Name";"CID";"CAS";"Bruyne.2001.WT";"Bruyne.2001.RR";"Dobritsa.2003.EN";"Galizia.2009.nmr"
"ester";"methyl pentanoate";"12206";"624-24-8";NA;NA;NA;NA
"ester";"ethyl pentanoate";"10882";"539-82-2";NA;NA;NA;NA
"ester";"methyl 3-hydroxy hexanoate";"519845";"21188-58-9";NA;NA;NA;0.0348004515230041
"ester";"ethyl 3-hydroxyhexanoate";"61293";"2305-25-1";NA;NA;NA;0.0236644819699913
"ester";"propyl hexanoate";"12293";"626-77-7";NA;NA;NA;NA
"ester";"methyl heptanoate";"7826";"106-73-0";NA;NA;NA;NA
"ester";"ethyl heptanoate";"7797";"106-30-9";NA;NA;NA;NA
"ester";"isoamyl tiglate";"5463682";"41519-18-0";NA;NA;NA;0.0852781231214763
"ester";"isopropyl butyrate";"61184";"638-11-9";NA;NA;NA;0.0243510387455501
"ester";"methyl tiglate";"5323652";"6622-76-0";NA;NA;NA;0.17620320509815
"ester";"ethyl 2-methyl-2E-butenoate";"5281163";"5837-78-5";NA;NA;NA;0.180167436473342
"ester";"isopropyl tiglate";"5367745";"1733-25-1";NA;NA;NA;0.0722049668394184
"ester";"ethyl isovalerate";"7945";"108-64-5";NA;NA;NA;0.0267952574408158
"ester";"heptyl acetate";"8159";"112-06-1";NA;NA;NA;0.0348187135211655
"ester";"Z3-hexenyl acetate";"5363388";"3681-71-8";NA;NA;NA;0.0388767723744614
"ester";"hexyl methanoate";"61177";"629-33-4";NA;NA;NA;0.0319480605736788
"ester";"butyl heptanoate";"21596";"5454-28-4";NA;NA;NA;NA
"ester";"nonyl acetate";"8918";"143-13-5";NA;NA;NA;NA
"ester";"propyl heptanoate";"229377";"7778-87-2";NA;NA;NA;NA
"ester";"butyl valerate";"61137";"591-68-4";NA;NA;NA;NA
"ester";"butyl propanoate";"11529";"590-01-2";NA;NA;NA;NA
"O ring";"acetyl furan";"14505";"1192-62-7";NA;NA;NA;NA
"O ring";"gamma-pentyl-gamma-butyrolactone";"7710";"104-61-0";NA;NA;NA;NA
"O ring";"beta-butyrolactone";"18303";"3068-88-0";NA;NA;NA;0.104564576510556
"O ring";"gamma-valerolactone";"7921";"108-29-2";NA;30;NA;0.203514523223572
"O ring";"4-hydroxy-2,5-dimethyl-3(2H)-furanone";"19309";"3658-77-3";NA;NA;NA;NA
"O ring";"gamma-pentyl-gamma-butyrolactone";"441574";"63357-97-1";NA;NA;NA;NA
"O ring";"gamma-propyl-gamma-butyrolactone";"7742";"105-21-5";NA;NA;NA;0.0321462410464438
"other";"oil";NA;"solvent";10;NA;21;0.0432362941001664
"other";"heptane";NA;"142-82-5";NA;NA;NA;0.0554745088369321
"other";"octane";"356";"111-65-9";NA;NA;NA;0.0311075309442148
"other";"nonane";"8141";"111-84-2";NA;NA;NA;0.0397374514614233
"other";"carbon dioxide";"280";"124-38-9";14;NA;20;NA
"N ring";"2-isobutyl-3-methoxypyrazine";"32594";"24683-00-9";NA;0;NA;NA
"N ring";"pyrrolidine";"31268";"123-75-1";NA;0;NA;NA
"other";"11-cis Vaccenyl Acetate";NA;"6186-98-7";NA;0;NA;NA
"alcohol";"oleyl alcohol";"5284499";"143-28-2";NA;NA;NA;NA
"alcohol";"cis-vaccenyl alcohol";NA;"62972-93-4";NA;NA;NA;NA
"ester";"oleyl acetate";"5363289";"693-80-1";NA;NA;NA;NA
"acid";"cis-vaccenic acid";"5282761";"506-17-2";NA;NA;NA;NA
"other";"trans-methyl vaccenate";"5364432";"6198-58-9";NA;NA;NA;NA
"other";"hexane";"8058";"110-54-3";NA;NA;NA;NA
"O ring";"thymol";"6989";"89-83-8";NA;NA;NA;NA
"O ring";"benzophenone";"3102";"119-61-9";NA;NA;NA;NA
"alcohol";"isopropyl alcohol";"3776";"67-63-0";NA;NA;NA;NA
"other";"methional";"18635";"3268-49-3";NA;NA;NA;NA
"O ring";"menthol";"16666";"89-78-1";NA;NA;NA;NA
