"Receptor";"Sensillum";"ORN";"Glomerulus";"Co-receptor";"Coexpress";"Related1";"Related2";"Related3";"Related4";"Ors";"Sensillium.Type";"Comment";"Code";"x";"y"
"Or59c";"pb3";"pb3A";"1(VM7)";"Orco";;;;;;"Or59c";"maxillary palp";;124;882;148
"Or63a";;;;"Orco";;;;;;;;;"NA";"NA";"NA"
"Or65a";"at4";"at4";"DL3";"Orco";"Or65b+c";"Or65b";"Or65c";;;"Or65a+b+c";"antennal trichoid";;23;611;23
"Or65b";"at4";"at4";"DL3";"Orco";"Or65a+c";"Or65a";"Or65c";;;"Or65a+b+c";"antennal trichoid";;"NA";"NA";"NA"
"Or65c";"at4";"at4";"DL3";"Orco";"Or65a+b";"Or65a";"Or65b";;;"Or65a+b+c";"antennal trichoid";;"NA";"NA";"NA"
"Or67a";"ab10";"ab10";"DM6";"Orco";;;;;;"Or67a";"antennal basiconic";;3;70;93
"Or67b";"ab9";"ab9";"VA3";"Orco";;;;;;"Or67b";"antennal basiconic";;9;152;320
"Or67c";"ab7";"ab7";"VC4";"Orco";;;;;;"Or67c";"antennal basiconic";;175;881;246
"Or67d";"at1";"at1";"DA1";"Orco";;;;;;"Or67d";"antennal trichoid";;209;671;79
"Or69a";"ab9";"ab9";"D";"Orco";;;;;;"Or69a";"antennal basiconic";;116;552;42
"Or71a";"pb1";"pb1B";"VC2";"Orco";;;;;;"Or71a";"maxillary palp";;114;548;279
"Or74a";;;;"Orco";;;;;;;;;"NA";"NA";"NA"
"Or7a";"ab4";"ab4A";"DL5";"Orco";;;;;;"Or7a";"antennal basiconic";;187;943;100
"Or82a";"ab5";"ab5A";"VA6";"Orco";;;;;;"Or82a";"antennal basiconic";;80;156;184
"Or83a";;;;"Orco";;;;;;;;;"NA";"NA";"NA"
"Or83b";;;;"Orco";;;;;;;;"Orco";"NA";"NA";"NA"
"Or83c";"at2";"at2A";"DC3";"Orco";;;;;;"Or83c";"antennal trichoid / intermediate";"aka ai2A (Ronderos et al. 2014)";205;607;169
"Or85a";"ab2";"ab2B";"DM5";"Orco";"Or33b";"Or33b";"ab2B";;;"Or85a+33b";"antennal basiconic";;"NA";"NA";"NA"
"Or85b";"ab3";"ab3B";"VM5d";"Orco";"Or98b";"Or98b";"ab3B";;;"Or85b+98b";"antennal basiconic";;"NA";"NA";"NA"
"Or85c";;;;"Orco";;;;;;;;;"NA";"NA";"NA"
"Or85d";"pb3";"pb3B";"VA4";"Orco";;;;;;"Or85d";"maxillary palp";;234;543;334
"Or85e";"pb2";"pb2A";"VC1";"Orco";"Or33c";"Or33c";;;;"Or33c+85e";"maxillary palp";;"NA";"NA";"NA"
"Or85f";"ab10";"ab10";"DL4";"Orco";"Or49a";"Or49a";;;;"Or49a+85f";"antennal basiconic";;113;597;58
"Or88a";"at4";"at4";"VA1d";"Orco";;;;;;"Or88a";"antennal trichoid";;5;265;125
"Or92a";"ab1";"ab1B";"VA2";"Orco";;;;;;"Or92a";"antennal basiconic";;249;67;300
"Or94a";;;;"Orco";;;;;;;;;"NA";"NA";"NA"
"Or94b";;;;"Orco";;;;;;;;;"NA";"NA";"NA"
"Or98a";"ab7";"ab7A";"VM5v";"Orco";;;;;;"Or98a";"antennal basiconic";;62;485;209
"Or98b";"ab3";"ab3B";"VM5d";"Orco";"Or85b";"Or85b";"ab3B";;;"Or85b+98b";"antennal basiconic";;"NA";"NA";"NA"
"Or9a";"ab8";"ab8B";"VM3";"Orco";;;;;;"Or9a";"antennal basiconic";;167;434;295
"pb2A";"pb2";"pb2A";"VC1";"Orco";"Or33c+85e";"Or33c";"Or85e";;;"Or33c+85e";"maxillary palp";;189;922;267
;;;"VA7m";;;;;;;;;;184;130;275
;;;"VM6";;;;;;;;;;156;1258;371
