"Class";"Name";"InChIKey";"CID";"CAS";"Kreher.2005.EN";"Kreher.2008.EN";"Galizia.2009.nmr"
"135";"alcohol";"ethanol";"LFQSCWFLJHTTHZ-UHFFFAOYSA-N";702;"64-17-5";NA;NA;NA
"136";"alcohol";"1-propanol";"BDERNNFJNOPAEC-UHFFFAOYSA-N";1031;"71-23-8";NA;NA;NA
"137";"alcohol";"1-butanol";"LRHPLDYGYMQRHN-UHFFFAOYSA-N";263;"71-36-3";172;170;NA
"138";"alcohol";"1-pentanol";"AMQJEAYHLZJPGS-UHFFFAOYSA-N";6276;"71-41-0";NA;NA;NA
"139";"alcohol";"1-hexanol";"ZSIAUFGUXNUGDI-UHFFFAOYSA-N";8103;"111-27-3";219;219;NA
"140";"alcohol";"1-octanol";"KBPLFHHGFOOTCA-UHFFFAOYSA-N";957;"111-87-5";NA;NA;NA
"141";"alcohol";"2-octanol";"SJWFXCIHNDVPSH-UHFFFAOYSA-N";20083;"123-96-6";NA;NA;NA
"142";"alcohol";"2-pentanol";"JYVLIDXNZAXMDK-UHFFFAOYSA-N";22386;"6032-29-7";NA;NA;NA
"143";"alcohol";"3-methyl-butanol";"PHTQWCKDNZKARW-UHFFFAOYSA-N";31260;"123-51-3";NA;NA;0.51045843464087
"144";"alcohol";"3-methyl-2-buten-1-ol";"ASUAYTHWZCLXAN-UHFFFAOYSA-N";11173;"556-82-1";NA;NA;NA
"145";"alcohol";"1-penten-3-ol";"VHVMXWZXFBOANQ-UHFFFAOYSA-N";12020;"616-25-1";NA;NA;NA
"146";"alcohol";"1-octen-3-ol";"VSMOENVRRABVKN-UHFFFAOYSA-N";18827;"3391-86-4";62;61;NA
"147";"alcohol";"E2-hexenol";"ZCHHRLHTBGRGOT-SNAWJCMRSA-N";5318042;"928-95-0";NA;NA;NA
"148";"alcohol";"Z2-hexenol";"ZCHHRLHTBGRGOT-PLNGDYQASA-N";5324489;"928-94-9";NA;NA;NA
"149";"alcohol";"E3-hexenol";"UFLHIIWVXFIJGU-ONEGZZNKSA-N";5284503;"928-97-2";NA;NA;NA
"150";"alcohol";"Z3-hexenol";"UFLHIIWVXFIJGU-ARJAWSKDSA-N";5281167;"928-96-1";NA;NA;1.23701820091849
"151";"alcohol";"glycerol";"PEDCQBHIVMGVHV-UHFFFAOYSA-N";753;"56-81-5";NA;NA;NA
"152";"alcohol";"2,3-butanediol";"OWBTYPJTUOEWEK-ZXZARUISSA-N";262;"513-85-9";NA;NA;0.319837248902086
"153";"alcohol";"cyclohexanol";"HPXRVTGHNJAIIH-UHFFFAOYSA-N";7966;"108-93-0";NA;NA;NA
"154";"alcohol";"decanol";"MWKFXSUHUHTGQN-UHFFFAOYSA-N";8174;"112-30-1";NA;NA;0.245334749432848
